Delivery address,"Adresse
de livraison",Identifie une intersection où une livraison doit être effectuée.
"End
(in street section,
out street section)
","Arrivée
(tronçon, intersection) ",Intersection identifiant le point d'arrivée d'un tronçon.
Delivery constraint,"Contrainte de
livraison",Plage horaire durant laquelle une livraison doit être effectué.
Delivery request,"Demande
de livraison","Ensemble d'adresses de livraison, ainsi que l'entrepôt et les
contraintes de livraison associées."
"Start
(in street section,
out street section)","Départ
(tronçon, intersection)",Intersection identifiant le point de départ d'un tronçon.
Delivery duration,Durée de livraison,Temps pris par le livreur pour effectuer une livraison.
Warehouse,Entrepôt,"Point de départ et de fin d'une tournée.
C'est une intersection particulière."
Delivery graph,"Graphe des
livraisons","Graphe complet et orienté représentant l'ensemble des adresses de livraisons (noeuds),
ainsi que les trajets pour aller d'une adresse de livraison à une autre (arc)."
Delivery Interval,"Horaire
de passage",Heure d'arrivé et heure de départ d'un livreur à une adresse livraison.
Intersection,Intersection,Noeud du plan.
Delivery,Livraison,"Action réalisée par le client qui consiste à s'arrêter un certain temps à une adresse de livraison.
Peut être caractérisée par des contraintes de livraison."
Delivery man,Livreur,Personne effectuant les tournées.
City map,Plan,Graphe orienté représentant le plan de la ville.
Way point,Point de passage,Défini indifférement un entrepôt ou une adresse de livraison.
Street,Rue,Nom donné à un ensemble de tronçons partageant le même nom.
"Street section
length",Taille de tronçon,Longueur du tronçon (en mètres).
Waiting time,Temps d'attente,Temps que le livreur attend à une adresse de livraison avant de pouvoir l'effectuer.
"Street section
time","Temps de tronçon
",Temps mis par un livreur pour parcourir un tronçon.
Planning,Tournée,"Ensemble ordonné d'adresses de livraison, de trajets entre ces adresses de livraison,
et des horaires de passages à chacune des adresses de livraison.
Le livreur commence sa tournée en partant de l'entrepôt donné,
livre chaque adresse de livraison, et retourne au même entrepôt."
Route,Trajet,"Suite consécutive de tronçons: le départ d'un tronçon doit être l'arrivée du tronçon précédent.
Un trajet relie une adresse de livraison à une autre adresse de livraison (ou un entrepôt)."
Street section,Tronçon,"Arc du plan reliant deux intersections.
Chaque tronçon possède un identifiant pour le différencier de la rue.
Un tronçon est caractérisé par une intersection de départ et par une intersection d'arrivée."
"In street
section",Tronçon entrant,Tronçon arrivant sur une intersection.
Out street section,Tronçon sortant,Tronçon sortant d'une intersection.
